prenom,genre_auteur
William,m
Anne,f
François,m
Jacques,m
François,m
Marie,f
Alain,m
Brigit,
Marie,f
Carol,m
Claire,f
Roger,m
André,m
Gilbert,m
Marcel,m
Michel,m
Huguette,f
Alain,m
Claude,m
Carole,f
Régis,m
Francine,f
Hélène,f
Jean,m
Jean,m
Richard,m
Christine,f
Gilbert,m
Suzanne,f
Jean,m
Christine,f
Marcel,m
Léo,m
Suzanne,f
Jean,m
Bertrand,m
Jacques,m
Roch,m
Monique,f
Nycole,
Germaine,f
Danielle,f
Yves,m
Pierre,m
Régent,
Louise,f
Jean,m
Eugène,m
Eugène,m
Eugène,m
Roland,m
Noël,m
Claire,f
Louis,m
Jocelyn,f
Guy,m
Noëllie,f
Colette,f
Yolande,f
Lise,f
Tatiana,f
Rachel,f
François,m
Jean,m
Esther,f
Louise,f
Gary,m
Alice,f
Marie,f
Lucie,f
Lucie,f
Micheline,f
Marie,f
Louise,f
Pierre,m
Pierre,m
Claude,m
Bertrand,m
Jacques,m
Jean,m
Michel,m
Paul,m
Mia,f
Roger,m
Francis,m
Alix,f
Antoine,m
NA,NA
Marc,m
Pauline,f
Carmen,f
Luc,m
Naïm,m
NA,NA
Lise,f
Arlette,f
Nicole,f
Serge,m
Paul,m
Réal,m
Annette,f
Élisabeth,f
Pierre,m
Claude,m
René,m
Claudius,m
Laure,f
Andrée,f
Clark,m
Hélène,f
de,NA
Pierre,m
Daniel,m
Victor,m
Alice,f
Jean,m
Olivier,m
NA,NA
Jean,m
Jean,m
Jean,m
Jean,m
Émile,m
Denise,f
Robert,m
Lucille,f
Marguerite,f
Paule,f
Marcelyne,f
Michel,m
Albert,m
Ève,f
Gilles,m
Jacques,m
Jean,m
Christiane,f
Georges,m
Denise,f
Patrick,m
Léon,m
René,m
Robert,m
Robert,m
Robert,m
Robert,m
Yolande,f
René,m
René,m
Colette,f
Dominique,f
Jean,m
Eugénie,f
Émile,m
Suzanne,f
Donat,m
Fernand,m
Ernest,m
René,m
René,m
René,m
Carole,f
Bernard,m
Jocelyn,f
Henry,m
Stephen,m
Suzanne,f
Réal,m
Claude,m
Francine,f
Maurice,m
Dany,m
Mario,m
Josette,f
René,m
Alexander,m
Eugène,m
Eugène,m
none,
Louise,f
André,m
Francine,f
Marcel,m
none,
Alain,m
Jean,m
Joseph,m
Yvonne,f
Yvonne,f
Virginie,f
Gilbert,m
Ernest,m
Ernest,m
France,f
Josée,f
Jean,m
Louise,f
Esther,f
Paul,m
Louis,m
Normand,m
Monique,f
Marilu,f
François,m
Jean,m
Claude,m
Bernard,m
Claude,m
Alain,m
Claude,m
Joseph,m
Lorraine,f
Gaëtan,m
Patrick,m
Sylvain,m
Claude,m
Robert,m
Gérard,m
Robert,m
Pierre,m
François,m
Ralph,m
Pierre,m
Jean,m
Jean,m
Hélène,f
Michel,m
Claudette,f
Lorraine,f
Jacques,m
Hugh,m
Robert,m
Mordecai,m
Robert,m
Jacques,m
Jean,m
Pauline,f
Yves,m
Yves,m
Yves,m
Yves,m
Yves,m
Yves,m
Yves,m
Yves,m
Yves,m
Yves,m
Yves,m
Yves,m
Mavis,f
Geneviève,f
Gaston,m
Victor,m
Réjean,m
Léo,m
Marc,m
Marcel,m
Marcel,m
Daniel,m
Hélène,f
Lucie,f
Pierre,m
Yvon,m
Louise,f
Claude,m
Daniel,m
Guylène,f
Pierre,m
Claire,f
Alain,m
Marie,f
François,m
Jérôme,m
Hugh,m
Hélène,f
Jacques,m
Sylvain,m
